item_name,region,impression,clk
College Board - Parents SAT,0,3314,22
College Board - Parents SAT,Alabama,32718,174
College Board - Parents SAT,Alaska,65,0
College Board - Parents SAT,Arizona,31032,205
College Board - Parents SAT,Arkansas,2293,16
College Board - Parents SAT,California,474693,2804
College Board - Parents SAT,Colorado,7117,57
College Board - Parents SAT,Connecticut,195,1
College Board - Parents SAT,Delaware,355,0
College Board - Parents SAT,District of Columbia,1094,4
College Board - Parents SAT,Florida,491496,2868
College Board - Parents SAT,Georgia,274011,1310
College Board - Parents SAT,Hawaii,5760,42
College Board - Parents SAT,Idaho,8629,66
College Board - Parents SAT,Illinois,3996,15
College Board - Parents SAT,Indiana,30300,184
College Board - Parents SAT,Iowa,173,1
College Board - Parents SAT,Kansas,1099,16
College Board - Parents SAT,Kentucky,13037,93
College Board - Parents SAT,Louisiana,12584,63
College Board - Parents SAT,Maine,7,0
College Board - Parents SAT,Maryland,358,0
College Board - Parents SAT,Massachusetts,357,0
College Board - Parents SAT,Michigan,1022,16
College Board - Parents SAT,Minnesota,181,2
College Board - Parents SAT,Mississippi,743,4
College Board - Parents SAT,Missouri,24655,112
College Board - Parents SAT,Montana,425,0
College Board - Parents SAT,Nebraska,1445,6
College Board - Parents SAT,Nevada,12755,79
College Board - Parents SAT,New Hampshire,31,0
College Board - Parents SAT,New Jersey,20738,121
College Board - Parents SAT,New Mexico,557,1
College Board - Parents SAT,New York,6132,21
College Board - Parents SAT,North Carolina,8979,52
College Board - Parents SAT,North Dakota,152,1
College Board - Parents SAT,Ohio,1650,10
College Board - Parents SAT,Oklahoma,14445,71
College Board - Parents SAT,Oregon,4241,84
College Board - Parents SAT,Pennsylvania,2293,18
College Board - Parents SAT,Rhode Island,128,0
College Board - Parents SAT,South Carolina,6836,34
College Board - Parents SAT,South Dakota,1,0
College Board - Parents SAT,Tennessee,7110,43
College Board - Parents SAT,Texas,440654,2496
College Board - Parents SAT,Utah,6393,38
College Board - Parents SAT,Vermont,206,2
College Board - Parents SAT,Virginia,3175,17
College Board - Parents SAT,Washington,16108,70
College Board - Parents SAT,West Virginia,139,1
College Board - Parents SAT,Wisconsin,2134,9
College Board - Parents SAT,Wyoming,22544,118
College board-Parents Portal-help,0,1000,0
College board-Parents Portal-help,Alabama,9731,65
